name,name_en,category,website,address,city,geometry,info,info_en,email,phone
NAVN(STIKKORD),NAME(KEYWORDS),CATEGORY,http://www...,ADRESSE 123,POSTNR POSTSTED,"18.9486,69.64704",KORT INFO OG BESKRIVELSE,SHORT INFO AND DESCRIPTION,abc@epost.no,+XX 12345678
Narvik Frivillighetssentralen/BUA,Narvik Volunteer Centre,Clothes,https://narvik.frivilligsentral.no/,Frydenlundsgata 11,8516 Narvik,"17.420752526986213, 68.43978945174662","
Narvik Frivilligsentral er en ideell forening og en møteplass mellom mennesker, uansett livssyn, bakgrunn og funksjonsnivå. Sentralen skal bidra til en positiv utvikling i samarbeid mellom innbyggere, frivillige organisasjoner og offentlig sektor i Narvik kommune.","Narvik Volunteer Center is a non‑profit association and a meeting place for people of all backgrounds, beliefs, and abilities. The center aims to contribute to positive development through cooperation between residents, volunteer organizations, and the public sector in Narvik municipality",narvik.frivilligsentral.no,991796991
Røde Kors Bruktikken,Red Cross Second Hand Shop,Clothes,https://www.facebook.com/BruktikkenNarvikRodeKors/,Kongensgate 20,8514 Narvik,"17.425634169667905, 68.43512421866454",Brukt butikk klær og tilbehør,Second hand shop clothing and more,styret@narvikrodekors.no,994 28 680
Agenda AS Kaféen på Havna og Bruktikken,Agenda AS Cafe and Second Hand Shop,Clothes,https://bruktikken.blogspot.com/,Fagernesveien 22,8514 Narvik,"17.430110513329954, 68.42497881015211","Butikken er en bruktbutikk og kafé drevet av Agenda AS. De holder til i Fagernesveien 22 og tar imot det meste som kan selges, med unntak av klær, hygieneartikler, elektriske varer og enkelte bokserier. Varebehovet varierer, og de må av og til si nei på grunn av plass. De setter pris på henvendelser og kan hente varer hjemme hos folk.","Thrift store and cafe, household items and clothing",,47 970 32 057
Skoringen - skomaker,Skoringen - shoemaker,Clothes,Skoringen Narvik - La deg inspirere!,"Amfi Narvik Storsenter, Kongensgate 66",8514 Narvik,"17.435058088212628, 68.44088703356275","Reparasjon av sko, skobutikk",Shoemaker and shoe shop,,4721079625
Klavenes Craft As (Fru K),Klavenes Craft As (Fru K),Tools,Facebook,Dronningens Gate 69,8514 Narvik,"17.426168568565974, 68.43259291735394",Omtrekking av møbler,Furniture repair,ikla@online.no,4790222552
Klavenes Craft As (Fru K),Klavenes Craft As (Fru K),Clothes,Facebook,Dronningens Gate 69,8514 Narvik,"17.426168568565974, 68.43259291735394",Reperasjon av klær,Clothes repair,ikla@online.no,4790222552
Narvik Sykkelverksted,Narvik Bicycle mechanic,Tools,,Toppen 1,8515 Narvik,"17.443784349292546, 68.43685739129357",Narvik Sykkelverksted,Narvik Bicycle mechanic,,4795826916
Evade Sykkelservice Narvik,Evade Bicycle mechanic,Tools,,Risnakken 6,8520 Ankenes,"17.376559835288962, 68.42058440044823",Evade Sykkelservice Narvik,Evade Sykkelservice Narvik,,4748604489
Narvik bibliotek,Narvik Library,Sports,,"Kongensgate 39, 8514 Narvik",,,,,,
